lat,lon,elevation,ai_risk_score
13.0761989,80.26636,6.0,0.9973858
13.0769946,80.2665597,7.0,0.9999963
13.0774536,80.2666967,8.0,0.9999032
13.0782594,80.2670779,5.0,0.9999083
13.0776982,80.2724187,3.0,0.99995303
13.0757575,80.2731806,6.0,0.9995473
13.0699358,80.2728892,8.0,0.91846156
13.0701676,80.2724158,9.0,0.91747564
13.0705685,80.2712631,10.0,0.92466897
13.0707953,80.2709366,9.0,0.9812112
13.0711228,80.2696641,8.0,0.9974618
13.0747455,80.270067,8.0,0.99772257
13.0748603,80.2695276,8.0,0.9926179
13.0749793,80.269017,8.0,0.9949149
13.0752581,80.2679937,11.0,0.9921799
13.0754276,80.2670819,7.0,0.99884427
13.0773412,80.2723808,6.0,0.9999528
13.0757817,80.2721789,9.0,0.9990927
13.0747475,80.2721639,10.0,0.996684
13.0780523,80.2719975,4.0,0.99996924
13.0774426,80.2718366,6.0,0.9999825
13.0778198,80.2703422,8.0,0.99955016
13.0788138,80.270501,4.0,0.99991703
13.0771032,80.2701881,7.0,0.9993949
13.0759678,80.2698756,6.0,0.9998233
13.0753584,80.2697186,6.0,0.99936897
13.0787642,80.2700272,7.0,0.99982834
13.079308,80.268948,6.0,0.9999304
13.0789065,80.268027,8.0,0.999303
13.0765348,80.2694706,8.0,0.99820447
13.0755097,80.2691808,7.0,0.9987721
13.0725444,80.2689746,9.0,0.9969614
13.0745832,80.2689215,8.0,0.9778716
13.0748011,80.2678427,10.0,0.9673716
13.0740573,80.267641,9.0,0.9836331
13.0716194,80.2696983,9.0,0.9962554
13.0712796,80.2710616,9.0,0.9881649
13.0713327,80.2704994,7.0,0.99425006
13.0732082,80.2719116,11.0,0.9818594
13.0748757,80.2718636,7.0,0.99804
13.0749202,80.2669615,7.0,0.9990538
13.07367,80.2671617,7.0,0.998941
13.0768966,80.267347,9.0,0.9955521
13.0767684,80.2683332,10.0,0.9945533
13.0770183,80.2696031,8.0,0.9983975
13.0772497,80.2679483,9.0,0.9980876
13.0781324,80.2680845,6.0,0.9998265
13.0768349,80.2678596,8.0,0.9940303
13.075789,80.2681402,8.0,0.9952479
13.0762806,80.2682564,9.0,0.99542063
13.0760349,80.2693278,6.0,0.9983448
13.076095,80.2693448,6.0,0.99930274
13.0758365,80.2703688,5.0,0.9995111
13.0781955,80.2715969,4.0,0.9999678
13.0775605,80.2714105,6.0,0.9999374
13.0751091,80.2707302,7.0,0.99957913
13.0784807,80.271092,7.0,0.9999529
13.0743064,80.2710621,7.0,0.9977889
13.0745996,80.2700276,8.0,0.9960802
13.0744823,80.270539,8.0,0.99737227
13.072997,80.2700426,9.0,0.99422354
13.0701775,80.2702215,8.0,0.9993685
13.0729316,80.2704441,7.0,0.996243
13.0715957,80.2701329,8.0,0.99771833
13.0709961,80.2710034,9.0,0.9535491
13.0708608,80.2717555,11.0,0.87180364
13.0709273,80.2713345,11.0,0.90608615
13.0728073,80.2710813,11.0,0.95225924
13.0718888,80.2712121,10.0,0.9939619
13.0719537,80.2692633,10.0,0.9963882
13.0742533,80.2685284,10.0,0.9181457
13.0744101,80.2677218,10.0,0.9726706
13.0776619,80.268028,8.0,0.99830616
13.0778107,80.2672152,6.0,0.9992887
13.0784735,80.268903,6.0,0.9997907
13.0780731,80.2688849,7.0,0.9996581
13.0783847,80.2699546,8.0,0.99982435
13.0752562,80.2652981,7.0,0.99999857
13.0750622,80.2653177,8.0,0.9999789
13.0734551,80.2659333,6.0,0.9997547
13.0715139,80.2677162,6.0,0.99938273
13.0690899,80.2686351,5.0,0.9984049
13.0676957,80.2674752,5.0,0.99970716
13.0673395,80.2651718,5.0,0.99951875
13.0673117,80.2647184,7.0,0.9992157
13.0672373,80.2639826,3.0,0.99919075
13.0707626,80.2610716,9.0,0.9841898
